"slug","lat","lng","radius_m","google_maps"
"harissa-our-lady-of-lebanon","33.98390","35.65060","200","https://www.google.com/maps/search/?api=1&query=33.98390,35.65060"
"raouche-pigeon-rocks","33.89080","35.47050","250","https://www.google.com/maps/search/?api=1&query=33.89080,35.47050"
"jeita-grotto","33.94420","35.64140","350","https://www.google.com/maps/search/?api=1&query=33.94420,35.64140"
"baalbek-temple-of-bacchus","34.00690","36.20390","450","https://www.google.com/maps/search/?api=1&query=34.00690,36.20390"
"byblos-citadel","34.12080","35.64550","250","https://www.google.com/maps/search/?api=1&query=34.12080,35.64550"
"qadisha-valley","34.24470","35.99860","1500","https://www.google.com/maps/search/?api=1&query=34.24470,35.99860"
"cedars-of-god","34.24470","36.04920","400","https://www.google.com/maps/search/?api=1&query=34.24470,36.04920"
"beiteddine-palace","33.69440","35.58140","250","https://www.google.com/maps/search/?api=1&query=33.69440,35.58140"
"sidon-sea-castle","33.56860","35.36750","180","https://www.google.com/maps/search/?api=1&query=33.56860,35.36750"
"tyre-hippodrome","33.27250","35.20750","600","https://www.google.com/maps/search/?api=1&query=33.27250,35.20750"
